,precision,recall,f1-score,support
1,0.8921568627450981,0.9680851063829787,0.9285714285714286,94.0
2,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0
3,0.5,0.3,0.37499999999999994,10.0
accuracy,0.8608695652173913,0.8608695652173913,0.8608695652173913,0.8608695652173913
macro avg,0.7021475256769375,0.5742101869761445,0.6197089947089948,115.0
weighted avg,0.8410425039581051,0.8608695652173913,0.8447550034506557,115.0
